Landscape,Site,Date,Transect,Survey.Method,Habitat.Type,Day.Night,Plot.ID,Observer,Time,Scientific.Name,Taxon.Rank,Speciment.ID,Family,Group1,Group2,SVL,TaL,Hor,Ver,Substrate,Activity,Photo.ID,Note
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:59,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,3.7,,1,1.5,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:40,Limnonectes leporinus,Species,-,Dicroglossidae,Amphibians,Frogs,5.6,,0,0,Serasah,Diam,,Anakan
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:03,Tropidophorus beccarii,Species,-,Scincidae,Reptiles,Saurias,6.1,,0,0,Batu,Diam,,Batuan berlumut
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:37,Staurois guttatus,Species,-,Ranidae,Amphibians,Frogs,5,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:30,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,4.5,,0.5,1.5,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:37,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,5.1,,0.5,1.5,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:13,Limnonectes kuhlii,Species,-,Dicroglossidae,Amphibians,Frogs,5,,0,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:45,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,4.8,,1,1,Akar,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:32,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,4.2,,1,1,Akar,Lompat,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:17,Limnonectes ingeri,Species,-,Dicroglossidae,Amphibians,Frogs,4.98,,2,1.5,Tanah,Diam,,Ditemukan pada tebing
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:09,Polypedates colletti,Species,-,Rhacophoridae,Amphibians,Frogs,5.48,,1,2,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:55,Polypedates macrotis,Species,-,Rhacophoridae,Amphibians,Frogs,7.4,,3,2,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:50,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,2.8,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",21:20,Kalophrynus meizon,Species,-,Microhylidae,Amphibians,Frogs,4.67,,0,0,Batu,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:18,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,3.83,,1,2,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:31,Limnonectes ingeri,Species,-,Dicroglossidae,Amphibians,Frogs,5.46,,0,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:30,Pelobatrachus nasutus,Species,-,Megophryidae,Amphibians,Frogs,7.7,,1,1,Batu,Bersuara,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:33,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,1.6,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:33,Pulchrana baramica,Species,-,Ranidae,Amphibians,Frogs,5.4,,1,1,Kayu tumbang,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:40,Staurois guttatus,Species,-,Ranidae,Amphibians,Frogs,1.64,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:40,Staurois guttatus,Species,-,Ranidae,Amphibians,Frogs,2.5,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:41,Staurois guttatus,Species,-,Ranidae,Amphibians,Frogs,1.5,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:47,Tropidolaemus subannulatus,Species,-,Viperidae,Reptiles,Snakes,,,0,2.5,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:54,Pulchrana baramica,Species,-,Ranidae,Amphibians,Frogs,,,1,1,Akar,Lompat,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:54,Limnonectes kuhlii,Species,-,Dicroglossidae,Amphibians,Frogs,3.1,,0,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:00,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,3.3,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:05,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,3.4,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:11,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,,,1,2,Daun,Lompat,,Tidak tertangkap
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:16,Xenochrophis trianguligerus,Species,-,Colubridae,Reptiles,Snakes,,,0,0,Batu,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:17,Rhacophorus pardalis,Species,-,Rhacophoridae,Amphibians,Frogs,4.4,,2,2.5,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:21,Polypedates macrotis,Species,-,Rhacophoridae,Amphibians,Frogs,,,1,2,Ranting,Lompat,,Tidak tertangkap
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:21,Boiga drapiezii,Species,-,Colubridae,Reptiles,Snakes,,,4,3,Ranting,Diam,,Ditemukan pada tebing
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:23,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,3.3,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:39,Ptyas fusca,Species,-,Colubridae,Reptiles,Snakes,,,6,2,Ranting,Diam,,Ditemukan saat perpindahan jalur akuatik yang dipotong oleh air terjun pertama
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:45,Staurois guttatus,Species,-,Ranidae,Amphibians,Frogs,3.7,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:16,Gonocephalus grandis,Species,-,Agamidae,Reptiles,Saurias,,,0,3,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",21:33,Leptolalax cf dringi,Species,-,Megophryidae,Amphibians,Frogs,,,7,0,Serasah,Diam,,Ditemukan oleh Jarian
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:07,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Lompat,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:10,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:14,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:15,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:18,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:19,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:19,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:20,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,,,1,0,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:20,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:21,Xenochrophis trianguligerus,Species,-,Colubridae,Reptiles,Snakes,,,0,0.5,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:29,Pulchrana baramica,Species,-,Ranidae,Amphibians,Frogs,4.5,,1,0,Akar,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:31,Pulchrana baramica,Species,-,Ranidae,Amphibians,Frogs,4.3,,2,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:32,Pulchrana baramica,Species,-,Ranidae,Amphibians,Frogs,,,1,1,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:46,Staurois guttatus,Species,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:46,Staurois guttatus,Species,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:50,Staurois guttatus,Species,-,Ranidae,Amphibians,Frogs,,,2,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:54,Staurois guttatus,Species,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",21:33,Gonocephalus liogaster,Species,-,Agamidae,Reptiles,Saurias,,,4,2,Ranting,Tidur,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:56,Tropidophorus brookei,Species,-,Scincidae,Reptiles,Saurias,7.42,4.9,0,0,Batu,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:12,Tropidophorus brookei,Species,-,Scincidae,Reptiles,Saurias,,,0,0.5,Kayu tumbang,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:30,Limnonectes leporinus,Species,-,Dicroglossidae,Amphibians,Frogs,10.47,,2,0,Serasah,Diam,,Dimakan oleh pendamping
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:35,Ingerophrynus divergens,Species,-,Bufonidae,Amphibians,Frogs,2.6,,1,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:36,Limnonectes kuhlii,Species,-,Dicroglossidae,Amphibians,Frogs,,,1,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:37,Dogania subplana,Species,-,Trionychidae,Reptiles,Turtles,,,,,Air,Berenang,,"Ditemukan Bang Edy di aliran air sekitar camp, masih anakan"
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:37,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:38,Limnonectes kuhlii,Species,-,Dicroglossidae,Amphibians,Frogs,,,1,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:41,Pulchrana baramica,Species,-,Ranidae,Amphibians,Frogs,4.3,,1,0,Akar,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:43,Pulchrana baramica,Species,-,Ranidae,Amphibians,Frogs,4.4,,1,1,Tanah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:45,Polypedates macrotis,Species,-,Rhacophoridae,Amphibians,Frogs,5.4,,3,2,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:46,Enhydris enhydris,Species,-,Homalopsidae,Reptiles,Snakes,,,,,Pasir,Berenang,,Ditemukan Bang Udin  di aliran air sekitar camp
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:46,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,2.9,,1,2,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:48,Pulchrana picturata,Species,-,Ranidae,Amphibians,Frogs,3.6,,2,0,Akar,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:48,Pulchrana baramica,Species,-,Ranidae,Amphibians,Frogs,4.2,,1,0,Akar,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:49,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,2.9,,2,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:50,Limnonectes kuhlii,Species,-,Dicroglossidae,Amphibians,Frogs,3.4,,3,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:53,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,3.3,,4,2,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:58,Limnonectes kuhlii,Species,-,Dicroglossidae,Amphibians,Frogs,3.5,,3,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:58,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,2.9,,3,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:03,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,2.8,,2,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:03,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,2.7,,2,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:04,Limnonectes leporinus,Species,-,Dicroglossidae,Amphibians,Frogs,10.2,,5,1,Tanah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:04,Limnonectes leporinus,Species,-,Dicroglossidae,Amphibians,Frogs,9.8,,5,1,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:06,Pulchrana baramica,Species,-,Ranidae,Amphibians,Frogs,4.3,,3,1,Akar,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:08,Polypedates macrotis,Species,-,Rhacophoridae,Amphibians,Frogs,6.3,,5,2,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:11,Polypedates macrotis,Species,-,Rhacophoridae,Amphibians,Frogs,5.9,,7,3,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:12,Chalcorana raniceps,Species,-,Ranidae,Amphibians,Frogs,3.1,,4,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:12,Psammodynastes pictus,Species,-,Pseudaspididae,Reptiles,Snakes,,,1,0.5,Daun,Diam,,
Kalimantan Barat,Gunung Raya,2-Sep-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:14,Pulchrana baramica,Species,-,Ranidae,Amphibians,Frogs,,,1,1,Akar,Diam,,
